date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:32:52	1240/1240	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225a67d07d-4d8%22	http://kdf-service.ru/img/clock-icon.svg	C:/Work/kdf-service.ru/kdf-service.ru/kdf-service.ru/img/clock-icon.svg	(from http://kdf-service.ru/css/main.min.css?v=1)
16:32:53	304/304	---M--	200	added ('OK')	image/svg+xml	etag:%225a67d07e-130%22	http://kdf-service.ru/img/next-step.svg	C:/Work/kdf-service.ru/kdf-service.ru/kdf-service.ru/img/next-step.svg	(from http://kdf-service.ru/css/main.min.css?v=1)
16:32:53	73423/73423	---M--	200	added ('OK')	image/jpeg	etag:%225a67d07d-11ecf%22	http://kdf-service.ru/img/delivery3.jpg	C:/Work/kdf-service.ru/kdf-service.ru/kdf-service.ru/img/delivery3.jpg	(from http://kdf-service.ru/css/main.min.css?v=1)
16:32:53	307/307	---M--	200	added ('OK')	image/svg+xml	etag:%225a67d07e-133%22	http://kdf-service.ru/img/next-step-active.svg	C:/Work/kdf-service.ru/kdf-service.ru/kdf-service.ru/img/next-step-active.svg	(from http://kdf-service.ru/css/main.min.css?v=1)
16:32:53	286/286	---M--	200	added ('OK')	image/svg+xml	etag:%225a67d07e-11e%22	http://kdf-service.ru/img/next-step-gray.svg	C:/Work/kdf-service.ru/kdf-service.ru/kdf-service.ru/img/next-step-gray.svg	(from http://kdf-service.ru/css/main.min.css?v=1)
16:32:53	380/380	---M--	200	added ('OK')	image/png	etag:%225a67d07d-17c%22	http://kdf-service.ru/img/line-element.png	C:/Work/kdf-service.ru/kdf-service.ru/kdf-service.ru/img/line-element.png	(from http://kdf-service.ru/css/main.min.css?v=1)
16:32:53	523/523	---M--	200	added ('OK')	image/svg+xml	etag:%225a67d07d-20b%22	http://kdf-service.ru/img/check.svg	C:/Work/kdf-service.ru/kdf-service.ru/kdf-service.ru/img/check.svg	(from http://kdf-service.ru/css/main.min.css?v=1)
16:32:54	5468/5468	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225b915044-155c%22	http://kdf-service.ru/img/2-9.svg	C:/Work/kdf-service.ru/kdf-service.ru/kdf-service.ru/img/2-9.svg	(from http://kdf-service.ru/css/main.min.css?v=1)
16:32:55	54387/54387	---M--	200	added ('OK')	image/jpeg	etag:%225a67d07d-d473%22	http://kdf-service.ru/img/delivery4.jpg	C:/Work/kdf-service.ru/kdf-service.ru/kdf-service.ru/img/delivery4.jpg	(from http://kdf-service.ru/css/main.min.css?v=1)
16:33:40	1465204/1465204	---MCZ	200	added ('OK')	application/pdf	etag:W/%225a67d074-165b74%22	http://kdf-service.ru/politica.pdf	C:/Work/kdf-service.ru/kdf-service.ru/kdf-service.ru/politica.pdf	(from http://kdf-service.ru/)
16:33:41	878/878	---M--	200	added ('OK')	image/svg+xml	etag:%225a67d07d-36e%22	http://kdf-service.ru/img/location-icon.svg	C:/Work/kdf-service.ru/kdf-service.ru/kdf-service.ru/img/location-icon.svg	(from http://kdf-service.ru/css/main.min.css?v=1)
16:33:45	11001/11001	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225a67d07e-2af9%22	http://kdf-service.ru/img/logo.svg	C:/Work/kdf-service.ru/kdf-service.ru/kdf-service.ru/img/logo.svg	(from http://kdf-service.ru/css/main.min.css?v=1)
16:33:45	166468/166468	---M--	200	added ('OK')	text/html	etag:%2228a44-5637a94ad0027%22	http://kdf-service.ru/css/fonts/Geometria-Bold.otf	C:/Work/kdf-service.ru/kdf-service.ru/kdf-service.ru/css/fonts/Geometria-Bold.html	(from http://kdf-service.ru/)
